iter	Logloss
0	0.5844195774
1	0.5038300256
2	0.4441626244
3	0.40245141
4	0.3686273622
5	0.3445926691
6	0.3263029587
7	0.3121500354
8	0.3027983868
9	0.2944420508
10	0.2889003423
11	0.2856439749
12	0.2824785481
13	0.2788655951
14	0.2768770008
15	0.2750322034
16	0.2733778836
17	0.2711966974
18	0.270439906
19	0.269050007
20	0.2682483711
21	0.2674839294
22	0.2666121616
23	0.2658492778
24	0.2650823045
25	0.264504251
26	0.263789995
27	0.2633172646
28	0.2629292157
29	0.2627793819
30	0.2627389329
31	0.262519746
32	0.2624613537
33	0.2623781189
34	0.2622718498
35	0.2617228672
36	0.2612891671
37	0.2610860875
38	0.2607240494
39	0.2606911672
40	0.2604012641
41	0.2601008176
42	0.2600528574
43	0.2600243985
44	0.2599794984
45	0.2598613228
46	0.2596013253
47	0.2594811745
48	0.2592794302
49	0.2591779738
50	0.2589987074
51	0.2587914271
52	0.2586756996
53	0.2584841649
54	0.2583893573
55	0.2583819575
56	0.2583820131
57	0.258321729
58	0.2581859439
59	0.2580537474
60	0.2580119631
61	0.2579963288
62	0.2578625188
63	0.2577692691
64	0.2576415515
65	0.2574950282
66	0.2573488943
