iter	Passed	Remaining
0	2	2956
1	6	3116
2	9	3021
3	11	2935
4	15	2993
5	17	2978
6	21	2993
7	24	3032
8	27	2981
9	30	3020
10	33	2982
11	35	2922
12	38	2895
13	41	2919
14	43	2885
15	46	2865
16	49	2873
17	52	2888
18	55	2855
19	58	2875
20	61	2865
21	64	2871
22	67	2878
23	70	2885
24	74	2900
25	77	2911
26	80	2918
27	84	2929
28	87	2933
29	90	2927
30	92	2906
31	96	2914
32	99	2903
33	101	2887
34	104	2878
35	107	2887
36	111	2894
37	114	2898
38	117	2904
39	120	2893
40	123	2897
41	127	2904
42	130	2898
43	133	2890
44	135	2878
45	139	2883
46	142	2884
47	145	2885
48	148	2884
49	151	2880
50	154	2883
51	158	2887
52	161	2882
53	164	2883
54	167	2877
55	169	2864
56	172	2847
57	175	2843
58	178	2853
59	182	2856
60	185	2850
61	188	2845
62	191	2844
63	194	2842
64	197	2844
65	201	2846
66	204	2848
